"time","isHit","ratio"
"10:17:09 PM","HIT","100.00"
"10:17:09 PM","HIT","100.00"
"10:17:09 PM","HIT","100.00"
"10:17:10 PM","HIT","100.00"
"10:17:10 PM","HIT","100.00"
"10:17:10 PM","HIT","100.00"
"10:17:11 PM","HIT","100.00"
"10:17:12 PM","HIT","100.00"
"10:17:12 PM","HIT","100.00"
"10:17:13 PM","HIT","100.00"
"10:17:13 PM","HIT","100.00"
"10:17:13 PM","HIT","100.00"
"10:17:14 PM","HIT","100.00"
"10:17:14 PM","HIT","100.00"
"10:17:14 PM","HIT","100.00"
"10:17:15 PM","HIT","100.00"
"10:17:15 PM","HIT","100.00"
"10:17:15 PM","HIT","100.00"
"10:17:16 PM","HIT","100.00"
"10:17:16 PM","HIT","100.00"
"10:17:16 PM","HIT","100.00"
"10:17:17 PM","HIT","100.00"
"10:17:17 PM","HIT","100.00"
"10:17:17 PM","HIT","100.00"
"10:17:18 PM","HIT","100.00"
"10:17:18 PM","HIT","100.00"
"10:17:19 PM","HIT","100.00"
"10:17:20 PM","HIT","100.00"
"10:17:21 PM","HIT","100.00"
"10:17:22 PM","HIT","100.00"
"10:17:23 PM","HIT","100.00"
"10:17:23 PM","HIT","100.00"
"10:17:23 PM","HIT","100.00"
"10:17:26 PM","HIT","100.00"
"10:17:26 PM","HIT","100.00"
"10:17:27 PM","HIT","100.00"
"10:17:27 PM","HIT","100.00"
"10:17:27 PM","HIT","100.00"
"10:17:27 PM","HIT","100.00"
"10:17:28 PM","HIT","100.00"
"10:17:28 PM","HIT","100.00"
"10:17:29 PM","HIT","100.00"
"10:17:29 PM","HIT","100.00"
"10:17:29 PM","MISS","97.73"
"10:17:29 PM","MISS","95.56"
"10:17:29 PM","MISS","93.48"
"10:17:29 PM","MISS","91.49"
"10:17:30 PM","HIT","91.67"
"10:17:30 PM","HIT","91.84"
"10:17:31 PM","HIT","92.00"
"10:17:31 PM","HIT","92.16"
"10:17:31 PM","HIT","92.31"
"10:17:32 PM","HIT","92.45"
"10:17:32 PM","HIT","92.59"
"10:17:32 PM","HIT","92.73"
"10:17:32 PM","HIT","92.86"
"10:17:33 PM","HIT","92.98"
"10:17:33 PM","HIT","93.10"
"10:17:34 PM","HIT","93.22"
"10:17:48 PM","MISS","91.67"
"10:17:48 PM","MISS","90.16"
"10:17:48 PM","MISS","88.71"
"10:17:48 PM","MISS","87.30"
"10:17:48 PM","MISS","85.94"
"10:17:48 PM","MISS","84.62"
"10:17:48 PM","MISS","83.33"
"10:17:48 PM","MISS","82.09"
"10:17:48 PM","MISS","80.88"
"10:17:48 PM","MISS","79.71"
"10:17:48 PM","MISS","78.57"
"10:17:48 PM","MISS","77.46"
"10:17:48 PM","MISS","76.39"
"10:17:48 PM","MISS","75.34"
"10:17:48 PM","MISS","74.32"
"10:17:48 PM","MISS","73.33"
"10:17:48 PM","MISS","72.37"
"10:17:48 PM","MISS","71.43"
"10:17:48 PM","MISS","70.51"
"10:17:48 PM","MISS","69.62"
"10:17:49 PM","HIT","70.00"
"10:17:58 PM","MISS","69.14"
"10:17:58 PM","MISS","68.29"
"10:17:58 PM","MISS","67.47"
"10:17:58 PM","MISS","66.67"
"10:17:58 PM","MISS","65.88"
"10:17:58 PM","MISS","65.12"
"10:17:58 PM","MISS","64.37"
"10:17:58 PM","MISS","63.64"
"10:17:58 PM","MISS","62.92"
"10:17:58 PM","MISS","62.22"
