"time","isHit","ratio"
"7:47:12 PM","HIT","100.00"
"7:47:12 PM","HIT","100.00"
"7:47:12 PM","HIT","100.00"
"7:47:12 PM","HIT","100.00"
"7:47:12 PM","HIT","100.00"
"7:47:12 PM","HIT","100.00"
"7:47:12 PM","HIT","100.00"
"7:47:13 PM","HIT","100.00"
"7:47:13 PM","HIT","100.00"
"7:47:13 PM","HIT","100.00"
"7:47:14 PM","HIT","100.00"
"7:47:14 PM","HIT","100.00"
"7:47:14 PM","HIT","100.00"
"7:47:14 PM","HIT","100.00"
"7:47:15 PM","HIT","100.00"
"7:47:15 PM","HIT","100.00"
"7:47:15 PM","HIT","100.00"
"7:47:16 PM","HIT","100.00"
"7:47:16 PM","HIT","100.00"
"7:47:16 PM","HIT","100.00"
"7:47:16 PM","HIT","100.00"
"7:47:17 PM","HIT","100.00"
"7:47:17 PM","HIT","100.00"
"7:47:17 PM","HIT","100.00"
"7:47:17 PM","HIT","100.00"
"7:47:17 PM","HIT","100.00"
"7:47:17 PM","HIT","100.00"
"7:47:17 PM","HIT","100.00"
"7:47:17 PM","HIT","100.00"
"7:47:18 PM","HIT","100.00"
"7:47:18 PM","HIT","100.00"
"7:47:19 PM","HIT","100.00"
"7:47:19 PM","HIT","100.00"
"7:47:19 PM","HIT","100.00"
"7:47:19 PM","HIT","100.00"
"7:47:20 PM","HIT","100.00"
"7:47:20 PM","HIT","100.00"
"7:47:20 PM","HIT","100.00"
"7:47:20 PM","HIT","100.00"
"7:47:20 PM","HIT","100.00"
"7:47:20 PM","HIT","100.00"
"7:47:21 PM","HIT","100.00"
"7:47:21 PM","HIT","100.00"
"7:47:21 PM","HIT","100.00"
"7:47:21 PM","HIT","100.00"
"7:47:21 PM","HIT","100.00"
"7:47:22 PM","HIT","100.00"
"7:47:22 PM","HIT","100.00"
"7:47:22 PM","HIT","100.00"
"7:47:23 PM","HIT","100.00"
"7:47:23 PM","HIT","100.00"
"7:47:23 PM","HIT","100.00"
"7:47:24 PM","HIT","100.00"
"7:47:24 PM","HIT","100.00"
"7:47:24 PM","HIT","100.00"
